嗚呼;ꜛあꜜあ
ああ;あꜛあ
アーク灯;あꜛあく*とう
アーケード;ꜛあꜜあけえど
アーケード;あꜛあけꜜえど
アース;ꜛあꜜあす
アーチ;ꜛあꜜあち
アーチェリー;ꜛあꜜあちぇりい
アーチスト;ꜛあꜜあち*すと
アート;ꜛあꜜあと
アーバンライフ;あꜛあばんらꜜいふ
アーム;ꜛあꜜあむ
アーム;あꜛあむ
アーメン;あꜛあめん
アーメン;ꜛあꜜあめん
アーモンド;ꜛあꜜあもんど
アーモンド;あꜛあもꜜんど
アール;ꜛあꜜある
アールヌーボー;あꜛあるぬꜜうぼう
愛;ꜛあꜜい
相;ꜛあꜜい
間;ꜛあꜜい
藍;ꜛあꜜい
合い;ꜛあꜜい
相合い傘;あꜛいあいが~ꜜさ
アイアン;あꜛいあん
アイアン;ꜛあꜜいあん
愛育;あꜛいいく
相いれない;ꜛあꜜいいれない
相容れない;ꜛあꜜいいれない
あい色;あꜛいいろ
藍色;あꜛいいろ
合い印;あꜛいいん
愛飲;あꜛいいん
相打ち;あꜛいうち
愛煙家;あꜛいえんか
合い縁奇縁;あꜛいえんきꜜえん
相生い;あꜛいおい
哀歌;ꜛあꜜいか
合いかぎ;あꜛいかぎ~
合い鍵;あꜛいかぎ~
合いかぎ;あꜛいꜜかぎ~
合い鍵;あꜛいꜜかぎ~
相方;あꜛいかた
合方;あꜛいかた
相方;あꜛいかたꜜ
合方;あꜛいかたꜜ
合鴨;あꜛいが~も
間鴨;あꜛいが~も
相変わらず;あꜛいかわらず
哀感;あꜛいかん
哀歓;あꜛいかん
哀願;あꜛいが~ん
愛がん;あꜛいが~ん
愛玩;あꜛいが~ん
合着;あꜛいぎ~ꜜ
合着;あꜛいぎ~
合気道;あꜛいきꜜどう
相客;あꜛいきゃく
愛きょう;あꜛいきょꜜう
愛敬;あꜛいきょꜜう
愛嬌;あꜛいきょꜜう
間狂言;あꜛいきょꜜうげ~ん
愛郷心;あꜛいきょꜜうしん
愛きょう者;あꜛいきょうもの
愛敬者;あꜛいきょうもの
愛嬌者;あꜛいきょうもの
愛きょう者;あꜛいきょうものꜜ
愛敬者;あꜛいきょうものꜜ
愛嬌者;あꜛいきょうものꜜ
愛吟;あꜛいぎ~ん
合い口;あꜛいく*ち
匕首;あꜛいく*ち
匕首;ꜛあꜜいく*ち
匕首;あꜛいꜜく*ち
愛くるしい;あꜛいくるしꜜい
愛犬;あꜛいけん
愛顧;ꜛあꜜいこ
あいこ;あꜛいこꜜ
あいこ;あꜛいこ
愛護;ꜛあꜜいご~
愛好;あꜛいこう
